timestamp,isInUse,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1709332780132,0,-0.9956055,-0.05200195,-0.0637207,-2.076336,0.1679389,-1.183206
1709332782249,0,-0.9973145,-0.06079102,-0.05078125,-2.022901,-0.129771,-0.8778625
1709332784357,0,-0.9914551,-0.04174805,-0.07299805,-2.389313,-0.007633588,-1.061069
1709332786411,0,-0.9943848,-0.05859375,-0.06884766,-2.114504,0.007633588,-1.045802
1709332788513,0,-0.9995117,-0.0480957,-0.06982422,-2.198473,0.4427481,-1.015267
1709332790653,0,-1.004883,-0.05175781,-0.04541016,-1.931298,0.3206107,-0.8396947
1709332792749,0,-1.002686,-0.05566406,-0.07617188,-2.083969,0,-1.091603
1709332794857,0,-0.9938965,-0.05249023,-0.08422852,-2.221374,0.09923664,-1.152672
1709332796965,0,-0.9934082,-0.0480957,-0.07348633,-2.114504,0.007633588,-0.9847328
1709332799537,0,-0.9975586,-0.05541992,-0.07568359,-2.083969,-0.3053435,-1.091603
1709332801640,0,-1.014893,-0.06103516,-0.05810547,-2.244275,0.4122138,-1.183206
1709332803762,0,-1.001953,-0.05859375,-0.06323242,-2.236641,0.3358779,-0.9465649
1709332805864,0,-1.004883,-0.05297852,-0.05908203,-2.19084,0.1221374,-0.9160305
1709332807976,0,-1.006592,-0.05175781,-0.0769043,-2.221374,0.6870229,-1.068702
1709332810097,0,-1.000732,-0.0480957,-0.06298828,-2.312977,-0.007633588,-0.8549618
1709332812226,0,-0.9921875,-0.0534668,-0.05029297,-2.076336,0.01526718,-1.167939
1709332814319,0,-0.9958496,-0.05810547,-0.06762695,-2.152672,0.04580153,-1.061069
1709332816452,0,-0.9956055,-0.0559082,-0.05224609,-2.068702,0.129771,-1.045802
1709332818548,0,-0.9941406,-0.05419922,-0.07226563,-2.083969,0.259542,-1.030534
1709332823734,0,-0.9897461,-0.05371094,-0.05981445,-2.183206,0.2213741,-1.068702
1709332825836,0,-0.9980469,-0.05639648,-0.08178711,-1.89313,0.3282443,-1.229008
1709332827947,0,-0.9956055,-0.05102539,-0.0793457,-2.183206,0.2137404,-1.061069
1709332830570,0,-1.003418,-0.05908203,-0.0793457,-2.290076,0.3282443,-1.137405
1709332832645,0,-1.009033,-0.05224609,-0.078125,-2.236641,0.4580153,-1.045802
1709332834732,0,-1.006836,-0.05224609,-0.07226563,-2.145038,0.2900764,-1.129771
1709332836850,0,-1.004639,-0.05102539,-0.06347656,-2.351145,0.1679389,-1.129771
1709332842031,0,-0.9980469,-0.05908203,-0.06738281,-2.198473,0.3816794,-1.175573
1709332844145,0,-0.9960938,-0.05029297,-0.07861328,-2.175573,0.03816794,-1.206107
1709332846295,0,-1.003662,-0.06054688,-0.06567383,-1.938931,-0.1755725,-1.099237
1709332848407,0,-0.9992676,-0.05859375,-0.06835938,-2.312977,0.2442748,-1
1709332850482,0,-0.9897461,-0.05712891,-0.06298828,-2.167939,-0.1374046,-1.045802
1709332852611,0,-1.006836,-0.05639648,-0.07055664,-2.160305,0.3053435,-1.160305
1709332854706,0,-1.003174,-0.0559082,-0.07568359,-2.091603,0.1679389,-1.137405
1709332856822,0,-0.9936523,-0.05639648,-0.05957031,-2.290076,-0.09923664,-1.076336
1709332858940,0,-0.9995117,-0.05175781,-0.08618164,-2.206107,0.07633588,-1.10687
1709332861636,0,-0.9990234,-0.05371094,-0.05859375,-2.328244,0.3740458,-1.183206
1709332863730,0,-0.9938965,-0.05688477,-0.05322266,-2.068702,0.129771,-1.038168
1709332865853,0,-0.994873,-0.05249023,-0.06616211,-2.19084,0.4122138,-1.061069
1709332867978,0,-1.008789,-0.05517578,-0.07495117,-2.183206,0.2213741,-1.030534
1709332870107,0,-1.003418,-0.05444336,-0.06591797,-2.366412,0.2366412,-1.007634
1709332872184,0,-1.002197,-0.06103516,-0.06884766,-2.061069,0.05343511,-1.10687
1709332874324,0,-0.9990234,-0.06201172,-0.05419922,-1.877863,0.06870229,-1.068702
1709332876406,0,-1.00293,-0.04980469,-0.06958008,-2.175573,0.05343511,-1.167939
1709332881588,0,-0.9960938,-0.05981445,-0.05688477,-2.099237,0.3664122,-1.061069
1709332883662,0,-1.000244,-0.0612793,-0.05957031,-1.954198,0.1145038,-1.21374
1709332885757,0,-0.9992676,-0.05639648,-0.06201172,-2.244275,0.0610687,-1.030534
1709332887865,0,-1.003174,-0.05493164,-0.07666016,-2.374046,0.2977099,-1.282443
1709332889973,0,-1.002441,-0.05737305,-0.07055664,-2.305344,0.1603053,-1.21374
1709332892542,0,-1.004883,-0.05029297,-0.07519531,-2.244275,0.09160305,-1.198473
1709332894652,0,-1.00415,-0.05810547,-0.0703125,-2.267176,0.1755725,-1.030534
1709332896774,0,-0.9943848,-0.05957031,-0.06323242,-2.007634,0.1679389,-1.053435
1709332898898,0,-1.005371,-0.05004883,-0.05639648,-1.992366,-0.007633588,-1.10687
1709332900985,0,-1.001221,-0.05493164,-0.08544922,-2.29771,0.3587786,-1.091603
1709332903108,0,-1.006348,-0.05126953,-0.08325195,-2.10687,0.09160305,-1.114504
1709332905214,0,-1.007813,-0.05712891,-0.06469727,-2.519084,0.3206107,-1.160305
1709332907328,0,-1.002441,-0.06152344,-0.07714844,-2.10687,0.4503817,-0.8473283
1709332909444,0,-0.9956055,-0.05371094,-0.07446289,-2.221374,0.01526718,-1.091603
1709332911549,0,-0.9902344,-0.05444336,-0.0715332,-2.259542,-0.007633588,-1.045802
1709332913657,0,-1.000244,-0.05712891,-0.07128906,-2.038168,0.3129771,-1.229008
1709332915710,0,-0.9987793,-0.05541992,-0.05883789,-2.183206,-0.02290076,-1.137405
1709332917827,0,-1.011719,-0.06176758,-0.06787109,-2.335878,0.4656488,-1.229008
1709332920447,0,-1.000977,-0.06152344,-0.06860352,-2.259542,0.2824428,-1.122137
1709332922563,0,-1.00415,-0.05834961,-0.07006836,-2.137405,0.351145,-1.129771
1709332924673,0,-1.000977,-0.05859375,-0.07446289,-2.10687,0.480916,-1.015267
1709332926789,0,-0.998291,-0.05639648,-0.05810547,-2.10687,0.2366412,-1.053435
1709332928901,0,-0.9973145,-0.05224609,-0.0925293,-2.137405,0.01526718,-1.167939
1709332931015,0,-0.9892578,-0.0534668,-0.05566406,-2.305344,-0.05343511,-1.145038
1709332933127,0,-1.000732,-0.05786133,-0.06103516,-2.351145,0.2824428,-1.21374
1709332935271,0,-0.9980469,-0.05688477,-0.07299805,-2.076336,0.2061069,-1.053435
1709332937396,0,-0.9897461,-0.04785156,-0.07299805,-2.381679,0.007633588,-1.122137
1709332939461,0,-0.9978027,-0.05761719,-0.06738281,-2.229008,0.1984733,-1.076336
1709332941572,0,-1.002197,-0.0546875,-0.06396484,-2.305344,0.3053435,-0.9923664
1709332943694,0,-0.9912109,-0.05493164,-0.04150391,-2.068702,-0.03816794,-1.053435
1709332945823,0,-0.9951172,-0.05273438,-0.07006836,-2.175573,0.007633588,-1.007634
1709332948424,0,-0.9975586,-0.0546875,-0.0690918,-2.21374,0.07633588,-1.068702
1709332950533,0,-1.003418,-0.0534668,-0.06152344,-2.206107,0.3206107,-1.061069
1709332952653,0,-0.984375,-0.06152344,-0.06030273,-2.328244,0.3282443,-1.137405
1709332957829,0,-0.9921875,-0.05712891,-0.06518555,-2.519084,0.01526718,-1.137405
1709332959943,0,-0.9914551,-0.05297852,-0.046875,-2.274809,0.09923664,-1.083969
